meal_name,Calories,Proteins,Carbs,Fats,sugar_g,serving_size_g,sodium_g,cholesterol_g,C,P,M,ED,F
Grilled Vegan Lunch,1806.0,106.05,267.68,71.63,31.77,120.47,1.72994,0.28505,0.5210608030496195,0.34257179719978975,0.6973133927083048,0.25837162967176625,0.17329097788515024
Fried Vegetarian Lunch,1577.0,85.41,214.32,56.97,12.34,109.15,0.69308,0.30061,0.4549905240361295,0.2110670425765757,0.6967295550241831,0.24769550575629365,0.4719336781278698
Boiled Paleo Breakfast,1608.0,98.11,246.04,65.48,42.81,399.43,2.14248,0.21542,0.6959018034084619,0.6045300329717589,0.6971899581568337,0.08243937865813332,0.09657451733418831
Fried Paleo Lunch,2657.0,80.84,203.22,54.56,9.34,314.31,0.1232,0.0096999999999999,0.7665883464578288,0.1819499530112614,0.6990978421094936,0.12989410619980565,0.8994283648568113
Baked Vegan Breakfast,1470.0,133.05,332.79,88.43,23.78,99.22,1.93511,0.11689,0.4241192582962019,0.5145983657475988,0.6973271711485405,0.2549184398496264,0.39243892185652307
Steamed Keto Snack,2767.0,69.71,174.44,46.5,15.89,416.54,2.38239,0.03638,0.7983251617044835,0.11103677864322005,0.6981055007719763,0.09431300876097853,0.5017078147297793
Fried Low-Carb Breakfast,1867.0,112.35,280.33,74.97,12.48,289.93,2.22046,0.05669,0.807990464529601,0.7406221627562478,0.6996264403465633,0.1535895180952136,0.510367118113406
Raw Low-Carb Snack,2191.0,105.41,262.57,70.37,2.87,487.67,1.50199,0.0747,0.6321396564129105,0.3384941303897675,0.7005788627448764,0.052062067704551684,0.6659453541480158
Boiled Vegan Lunch,2587.0,69.71,174.44,46.5,0.72,123.56,0.29336,0.1882599999999999,0.7463921913008669,0.11103677864322005,0.6981055007719763,0.37521684800031274,0.718912289844482
Grilled Paleo Lunch,1247.0,76.76,191.06,50.71,50.02,415.04,0.75793,0.29134,0.3597800782961659,0.15595482709737027,0.6980642062956961,0.022815695647396946,0.22228737129639242
Baked Keto Breakfast,2476.0,102.72,258.98,68.72,10.0,270.38,1.35653,0.17061,0.7143668595519701,0.3213551870788933,0.6952203875042424,0.14372953017651935,0.5148784603415039
Grilled Keto Snack,2232.0,93.27,231.16,61.23,11.88,393.39,0.32304,0.13518,0.6439688330048453,0.2611458880871601,0.6984454954965397,0.0752696585106108,0.6958878342900908
Baked Vegan Dinner,2569.0,71.6,181.82,48.11,30.3,239.19,0.08098,0.21051,0.7411988942605052,0.12307863844156666,0.6928965820903858,0.17483631410020914,0.4991497170879059
Grilled Low-Carb Breakfast,1726.0,139.49,348.88,92.94,35.84,471.47,0.13107,0.24436,0.3734846121526757,0.3334448320351699,0.6980356066142858,0.017728709681864418,0.4081392849690243
Roasted Low-Carb Lunch,2046.0,82.59,207.16,55.08,16.18,306.18,0.67445,0.12706,0.590304763587775,0.19309982319491567,0.6968832592019597,0.09508971474724545,0.6219650298710264
Raw Paleo Snack,2455.0,118.86,298.25,79.54,25.56,300.06,0.83515,0.29907,0.9375379804926779,0.8028384383810386,0.6976391193981262,0.2049447388750645,0.3512848334882894
Raw Paleo Breakfast,1740.0,76.8,192.66,51.19,43.14,352.42,0.05847,0.2915,0.7530280708524402,0.400869689874325,0.6966701795599134,0.10930928347976418,0.332318496637239
Steamed Low-Carb Breakfast,2166.0,92.99,233.62,62.41,27.8,370.94,0.43436,0.27165,0.6249267438568527,0.25936190885777544,0.6978480050375475,0.07852117941801885,0.3930895686811863
Baked Vegetarian Lunch,1802.0,87.27,219.75,58.09,5.03,366.68,1.19373,0.2524699999999999,0.5199067370406503,0.22291776174320255,0.6944457363044483,0.06034657656836185,0.47509234207872053
Fried Vegetarian Lunch,1716.0,99.4,247.96,66.24,16.21,122.1,1.31833,0.05339,0.7426414767717168,0.6168586037176853,0.6993719862374174,0.3780443745124738,0.6184506379138547
Boiled Vegan Snack,2038.0,120.63,300.3,80.22,1.96,229.67,2.07574,0.02179,0.5879966315698364,0.4354661442156066,0.6998101730612019,0.13815088841708376,0.654147298263798
Raw Balanced Breakfast,2212.0,103.91,256.65,68.88,10.7,270.05,1.3572,0.17278,0.638198502959999,0.32893709880377814,0.7027976829350147,0.12473833886538145,0.5068121937542427
Raw Paleo Breakfast,2182.0,89.25,222.21,58.85,15.41,407.72,0.2789,0.22823,0.9443145118390944,0.5198547331198929,0.6974080126505653,0.12152518973000032,0.5606972146816889
Boiled Keto Lunch,2410.0,69.71,174.44,46.5,0.81,124.74,0.29922,0.18788,0.6953247704039773,0.11103677864322005,0.6981055007719763,0.3434404047508623,0.7178437131719034
Steamed Keto Lunch,1510.0,71.05,177.97,47.3,7.67,220.52,1.25031,0.13848,0.6534898775788417,0.345916758254886,0.6970689770279018,0.16561514596397894,0.5877458288531602
