meal_name,diet_type,Calories_Final,day_label,Day,Portion,Proteins,Carbs,Fats
Roasted Balanced Breakfast,Paleo,1599.0,Breakfast,1,3.0,128.7,321.38,86.16
Roasted Balanced Breakfast,Paleo,865.8333333333333,Dinner,1,2.5,85.12,214.7,56.8
Steamed Vegetarian Dinner,Paleo,1484.25,Lunch,1,3.0,129.17,321.36,85.7
Roasted Low-Carb Dinner,Paleo,607.5,Breakfast,2,2.5,108.58,271.44,72.15
Roasted Balanced Breakfast,Paleo,846.6666666666667,Dinner,2,2.5,87.68,218.58,58.4
Roasted Balanced Breakfast,Paleo,733.3333333333333,Lunch,2,2.5,80.27,198.7,53.2
Boiled Low-Carb Dinner,Paleo,741.25,Lunch,3,2.5,78.92,199.51,53.51
Boiled Balanced Breakfast,Paleo,1474.5,Dinner,3,3.0,100.42,249.02,67.09
Raw Vegetarian Breakfast,Paleo,870.625,Breakfast,3,2.5,110.41,274.15,73.05
Grilled Paleo Snack,Paleo,1342.5,Dinner,4,3.0,99.48,250.11,66.83
Steamed Vegetarian Dinner,Paleo,635.0,Lunch,4,2.5,79.44,198.22,52.72
Roasted Low-Carb Dinner,Paleo,1152.5,Breakfast,4,3.0,128.11,315.34,84.8
Fried Vegan Lunch,Paleo,1390.5,Breakfast,5,3.0,112.69,284.18,74.93
Steamed Vegetarian Lunch,Paleo,752.9166666666667,Lunch,5,2.5,108.57,273.35,72.93
Boiled Balanced Breakfast,Paleo,881.25,Dinner,5,2.5,73.88,179.14,48.19
Roasted Paleo Lunch,Paleo,1329.0,Breakfast,6,3.0,99.72,250.32,66.57
Fried Vegetarian Dinner,Paleo,508.33333333333337,Dinner,6,2.5,108.75,272.03,71.91
Steamed Low-Carb Dinner,Paleo,1622.25,Lunch,6,3.0,128.8,323.63,85.74
Boiled Paleo Lunch,Paleo,716.25,Breakfast,7,2.5,132.38,330.49,88.45
Raw Vegetarian Breakfast,Paleo,903.75,Dinner,7,2.5,110.43,275.14,73.11
Steamed Balanced Dinner,Paleo,1520.25,Lunch,7,3.0,82.79,205.21,55.05
Raw Vegetarian Breakfast,Paleo,821.6666666666667,Lunch,8,2.5,70.29,176.44,46.57
Roasted Paleo Breakfast,Paleo,440.3125,Dinner,8,2.5,78.47,196.26,52.28
Raw Vegetarian Breakfast,Paleo,469.375,Breakfast,8,2.5,78.63,195.9,52.3
Roasted Balanced Snack,Paleo,819.5833333333333,Dinner,9,2.5,72.14,178.56,48.21
Steamed Vegetarian Dinner,Paleo,912.5,Breakfast,9,2.5,128.08,318.01,85.47
Steamed Vegan Dinner,Paleo,1174.0,Lunch,9,3.0,127.41,319.77,85.22
Fried Paleo Snack,Paleo,547.5,Dinner,10,2.5,70.18,175.64,46.76
Boiled Keto Lunch,Paleo,547.5,Lunch,10,2.5,91.99,229.4,61.37
Raw Low-Carb Snack,Paleo,677.9166666666667,Breakfast,10,2.5,80.04,199.45,53.13
Steamed Paleo Lunch,Paleo,1427.25,Breakfast,11,3.0,128.72,320.79,85.82
Raw Balanced Dinner,Paleo,1396.5,Dinner,11,3.0,100.61,249.74,66.36
Fried Low-Carb Lunch,Paleo,909.1666666666667,Lunch,11,2.5,127.2,317.72,84.93
Roasted Low-Carb Dinner,Paleo,1145.0,Breakfast,12,3.0,127.63,318.96,84.99
Roasted Low-Carb Dinner,Paleo,807.5,Lunch,12,2.5,112.94,284.83,76.15
Raw Keto Lunch,Paleo,1286.25,Dinner,12,3.0,113.08,281.57,76.06
Boiled Vegetarian Lunch,Paleo,1277.25,Lunch,13,3.0,113.5,283.57,75.18
Boiled Low-Carb Dinner,Paleo,713.3333333333333,Breakfast,13,2.5,92.31,230.68,61.44
Roasted Paleo Dinner,Paleo,567.5,Dinner,13,2.5,70.77,175.78,47.38
Fried Balanced Breakfast,Paleo,763.75,Lunch,14,2.5,111.18,278.55,74.14
Boiled Vegan Dinner,Paleo,755.625,Breakfast,14,2.5,95.33,237.85,64.42
Boiled Paleo Dinner,Paleo,615.0,Dinner,14,2.5,115.92,289.67,77.21
Roasted Vegan Snack,Paleo,768.75,Lunch,15,2.5,111.12,278.15,73.76
Boiled Paleo Snack,Paleo,521.6666666666666,Dinner,15,2.5,109.25,272.8,72.5
Steamed Vegetarian Dinner,Paleo,572.5,Breakfast,15,2.5,70.03,177.02,46.82
Roasted Vegetarian Dinner,Paleo,553.3333333333334,Lunch,16,2.5,91.79,230.86,61.61
Boiled Keto Snack,Paleo,535.625,Breakfast,16,2.5,101.63,253.46,67.69
Baked Vegan Dinner,Paleo,647.9166666666667,Dinner,16,2.5,123.18,310.53,82.69
Steamed Balanced Lunch,Paleo,564.5833333333334,Breakfast,17,2.5,70.39,175.29,46.69
Steamed Paleo Breakfast,Paleo,1333.5,Lunch,17,3.0,128.85,323.29,85.84
Boiled Balanced Breakfast,Paleo,767.0833333333333,Dinner,17,2.5,71.91,180.24,48.02
Boiled Balanced Breakfast,Paleo,522.5,Breakfast,18,2.5,69.71,174.44,46.5
Grilled Vegetarian Breakfast,Paleo,737.5,Lunch,18,2.5,131.73,330.47,87.54
Boiled Vegetarian Breakfast,Paleo,859.1666666666667,Dinner,18,2.5,88.29,218.96,58.24
Fried Keto Snack,Paleo,1149.75,Lunch,19,3.0,110.92,278.11,73.64
Fried Paleo Snack,Paleo,1409.25,Dinner,19,3.0,82.81,208.0,55.39
Boiled Low-Carb Lunch,Paleo,820.0,Breakfast,19,2.5,132.54,330.53,88.68
Fried Paleo Snack,Paleo,800.0,Breakfast,20,2.5,111.4,276.07,74.33
Roasted Balanced Lunch,Paleo,1113.0,Dinner,20,3.0,128.13,319.06,84.79
Boiled Keto Breakfast,Paleo,501.66666666666663,Lunch,20,2.5,108.74,272.22,71.78
Boiled Vegan Snack,Paleo,525.4166666666666,Breakfast,21,2.5,109.4,271.45,73.03
Steamed Keto Breakfast,Paleo,1407.75,Dinner,21,3.0,83.3,207.3,55.57
Fried Vegan Snack,Paleo,597.9166666666666,Lunch,21,2.5,108.4,268.32,71.9
Roasted Vegetarian Breakfast,Paleo,576.25,Breakfast,22,2.5,109.28,271.64,73.21
Roasted Balanced Breakfast,Paleo,381.875,Dinner,22,2.5,139.49,348.88,92.94
Grilled Keto Dinner,Paleo,789.5833333333333,Lunch,22,2.5,85.04,213.65,57.36
