meal_name,Proteins,Carbs,Fats,Calories,pseudo_target
Fried Paleo Snack,139.49,348.88,92.94,1678.0,0.7782018
Fried Vegan Lunch,139.49,348.88,92.94,1451.0,0.7748813
Steamed Vegetarian Breakfast,139.49,348.88,92.94,1431.0,0.77429473
Raw Vegan Breakfast,139.49,348.88,92.94,1407.0,0.77421176
Fried Vegetarian Breakfast,139.49,348.88,92.94,1425.0,0.77419764
Grilled Low-Carb Dinner,139.49,348.88,92.94,1567.0,0.7738696
Steamed Paleo Breakfast,139.49,348.88,92.94,1636.0,0.77386624
Boiled Keto Breakfast,139.49,348.88,92.94,1402.0,0.7737999
Baked Keto Breakfast,139.49,348.88,92.94,1362.0,0.77373284
Raw Vegetarian Lunch,139.49,348.88,92.94,1592.0,0.77290684
Boiled Vegetarian Breakfast,139.49,348.88,92.94,2223.0,0.7721267
Grilled Vegan Dinner,139.49,348.88,92.94,1356.0,0.77205473
Raw Keto Snack,139.49,348.88,92.94,1502.0,0.77203923
Baked Balanced Snack,139.49,348.88,92.94,2307.0,0.7715932
Boiled Keto Snack,139.49,348.88,92.94,2164.0,0.77136743
Boiled Balanced Breakfast,139.49,348.88,92.94,1370.0,0.7712762
Roasted Vegetarian Lunch,139.49,348.88,92.94,2101.0,0.77126753
Baked Paleo Snack,139.49,348.88,92.94,2233.0,0.7712427
Raw Balanced Dinner,139.49,348.88,92.94,1443.0,0.77087164
Fried Paleo Snack,139.49,348.88,92.94,2256.0,0.7708192
Grilled Vegan Lunch,139.49,348.88,92.94,2316.0,0.7707587
Raw Low-Carb Breakfast,139.49,348.88,92.94,1597.0,0.7706374
Fried Balanced Lunch,139.49,348.88,92.94,1455.0,0.77027327
Grilled Keto Dinner,139.49,348.88,92.94,2085.0,0.76998186
Grilled Vegetarian Breakfast,139.49,348.88,92.94,1309.0,0.7697866
Raw Low-Carb Snack,139.49,348.88,92.94,1259.0,0.7696426
Raw Keto Lunch,139.49,348.88,92.94,1986.0,0.7680219
Raw Low-Carb Snack,139.49,348.88,92.94,1307.0,0.7671628
Baked Vegan Snack,139.49,348.88,92.94,1329.0,0.7671315
Baked Balanced Dinner,139.49,348.88,92.94,2123.0,0.7636826
Steamed Vegan Breakfast,139.49,348.88,92.94,2282.0,0.76095474
Steamed Vegetarian Snack,139.49,348.88,92.94,2375.0,0.7601507
Roasted Low-Carb Dinner,139.49,348.88,92.94,2761.0,0.7599469
Roasted Balanced Breakfast,139.49,348.88,92.94,2340.0,0.75962514
Raw Balanced Dinner,139.49,348.88,92.94,2423.0,0.7595517
Fried Vegan Lunch,139.49,348.88,92.94,2142.0,0.7589761
Roasted Paleo Breakfast,139.49,348.88,92.94,2567.0,0.7589286
Fried Keto Lunch,139.49,348.88,92.94,2524.0,0.7589223
Raw Low-Carb Snack,139.49,348.88,92.94,2340.0,0.75884527
Raw Vegetarian Dinner,139.49,348.88,92.94,2468.0,0.7588355
Boiled Vegan Dinner,139.49,348.88,92.94,2493.0,0.7587249
Boiled Balanced Dinner,139.49,348.88,92.94,2719.0,0.7587249
Raw Vegan Snack,139.49,348.88,92.94,2599.0,0.75844157
Fried Vegetarian Dinner,139.49,348.88,92.94,2521.0,0.75835496
Boiled Vegan Dinner,139.49,348.88,92.94,2199.0,0.75830656
Baked Keto Lunch,139.49,348.88,92.94,2190.0,0.7582666
Fried Balanced Lunch,139.49,348.88,92.94,2515.0,0.7582371
Steamed Low-Carb Breakfast,139.49,348.88,92.94,2296.0,0.7581963
Raw Low-Carb Lunch,139.49,348.88,92.94,2315.0,0.7580998
Steamed Balanced Breakfast,139.49,348.88,92.94,2274.0,0.75808984
Roasted Low-Carb Breakfast,139.49,348.88,92.94,2339.0,0.75807714
Baked Vegetarian Snack,139.49,348.88,92.94,2503.0,0.75804514
Boiled Balanced Dinner,139.49,348.88,92.94,2558.0,0.75794184
Steamed Vegetarian Lunch,139.49,348.88,92.94,2051.0,0.75791216
Grilled Vegan Dinner,139.49,348.88,92.94,2634.0,0.7578752
Grilled Balanced Breakfast,139.49,348.88,92.94,2235.0,0.7574866
Raw Low-Carb Lunch,139.49,348.88,92.94,2513.0,0.7573223
Fried Balanced Breakfast,139.49,348.88,92.94,2484.0,0.75719976
Fried Balanced Breakfast,139.49,348.88,92.94,2249.0,0.7566309
Steamed Vegan Lunch,139.49,348.88,92.94,2189.0,0.7565519
Baked Balanced Breakfast,139.49,348.88,92.94,2413.0,0.75650316
Roasted Vegetarian Breakfast,139.49,348.88,92.94,2314.0,0.7560203
Raw Paleo Dinner,139.49,348.88,92.94,2229.0,0.75300443
Boiled Low-Carb Dinner,139.49,348.88,92.73,1380.0,0.7526285
Boiled Low-Carb Dinner,139.49,348.88,92.94,1314.0,0.7525735
Steamed Paleo Snack,139.49,348.88,92.94,1912.0,0.75214195
Baked Low-Carb Snack,139.49,348.88,92.94,2139.0,0.7519442
Steamed Paleo Breakfast,139.49,348.88,92.94,2476.0,0.7517192
Raw Vegetarian Breakfast,139.49,348.88,92.94,2493.0,0.75152767
Boiled Paleo Snack,139.49,348.88,92.94,2542.0,0.751476
Roasted Balanced Lunch,139.49,348.88,92.94,2403.0,0.7514588
Boiled Low-Carb Lunch,139.49,348.88,92.94,2266.0,0.7514588
Grilled Keto Breakfast,139.49,348.88,92.94,2317.0,0.7513223
Baked Vegetarian Dinner,139.49,348.88,92.94,2504.0,0.75119966
Grilled Paleo Breakfast,139.49,348.88,92.94,2353.0,0.7511308
Steamed Vegetarian Lunch,139.49,348.88,92.94,2310.0,0.7510525
Steamed Keto Lunch,139.49,348.88,92.94,2055.0,0.75103647
Roasted Vegan Lunch,139.49,348.88,92.94,1934.0,0.7509828
Grilled Paleo Dinner,139.49,348.88,92.94,1949.0,0.750898
Baked Paleo Dinner,139.49,348.88,92.94,2000.0,0.7508949
Baked Vegetarian Dinner,139.49,348.88,92.94,1931.0,0.7508622
Steamed Keto Dinner,139.49,348.88,92.94,2532.0,0.7508167
Baked Keto Breakfast,139.49,348.88,92.94,1881.0,0.7507951
Raw Keto Dinner,139.49,348.88,92.94,1934.0,0.7507633
Steamed Vegetarian Breakfast,139.49,348.88,92.94,2337.0,0.7507549
Fried Keto Breakfast,139.49,348.88,92.94,2515.0,0.7506802
Roasted Low-Carb Dinner,139.49,348.88,92.94,2062.0,0.7506623
Grilled Paleo Dinner,139.49,348.88,92.94,2132.0,0.75063777
