Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,Sets,Reps,Burns Calories (per 30 min),pseudo_target
Calf Raises,HIIT,"Quadriceps, Glutes",Legs,Wrist Extensors,1,4,22,342.1,0.5250407
Prone Cobras,HIIT,"Back, Core, Shoulders",Arms,Lower Chest,1,4,21,334.08,0.52400464
Windshield Wipers,HIIT,"Quadriceps, Glutes",Legs,Posterior,1,4,22,347.47,0.5239005
Prone Cobras,HIIT,"Back, Core, Shoulders",Forearms,Posterior,1,5,24,331.5,0.5234003
Prone Cobras,HIIT,"Back, Core, Shoulders",Legs,Quads,1,5,21,362.57,0.5232218
Prone Cobras,HIIT,"Quadriceps, Glutes",Arms,Middle,1,5,20,344.4,0.5229757
Pistol Squats,HIIT,"Back, Core, Shoulders",Legs,Wrist Flexors,1,5,18,349.45,0.5216112
Pull-ups,HIIT,"Back, Core, Shoulders",Arms,Lower Chest,1,4,15,368.52,0.5215104
Mountain Climbers,HIIT,"Quadriceps, Glutes",Abs,Lateral,1,5,15,334.88,0.5214226
Pistol Squats,HIIT,Core,Forearms,Wrist Extensors,1,4,18,344.94,0.52114904
Scissors Kicks,HIIT,"Back, Core, Shoulders",Legs,Wrist Flexors,1,4,16,345.78,0.52103263
Pistol Squats,HIIT,"Quadriceps, Glutes",Forearms,Triceps,1,5,16,339.96,0.52099776
Pull-ups,HIIT,"Chest, Triceps, Shoulders",Chest,Upper,1,5,21,344.1,0.52058315
Squats,HIIT,Quadriceps,Chest,Upper,1,4,23,366.11,0.52028006
Reverse Lunges,HIIT,Quadriceps,Chest,Upper,1,5,17,327.49,0.52024263
Decline Push-ups,HIIT,"Quadriceps, Glutes",Forearms,Wrist Extensors,1,4,24,370.24,0.5200619
Resistance Band Pull-Aparts,HIIT,"Back, Core, Shoulders",Abs,Wrist Flexors,1,5,15,342.19,0.5200387
Decline Push-ups,HIIT,"Quadriceps, Glutes",Legs,Wrist Extensors,1,5,15,339.14,0.51976067
Decline Push-ups,HIIT,"Back, Core, Shoulders",Abs,Wrist Extensors,1,5,20,348.14,0.5192893
Tricep Dips,HIIT,"Back, Core, Shoulders",Arms,Wrist Flexors,1,5,24,371.39,0.5192181
Seated Rows,HIIT,"Back, Core, Shoulders",Abs,Wrist Flexors,1,4,18,362.93,0.5192181
Calf Raises,HIIT,"Shoulders, Upper Back",Back,Upper,1,4,16,342.16,0.5190218
Reverse Lunges,HIIT,"Back, Core, Shoulders",Arms,Wrist Flexors,1,4,25,342.57,0.51896745
Lat Pulldowns,HIIT,"Back, Core, Shoulders",Legs,Wrist Extensors,1,5,20,337.8,0.5188166
Plank,HIIT,"Back, Core, Shoulders",Forearms,Triceps,1,5,17,357.78,0.5186874
Prone Cobras,HIIT,"Back, Biceps",Arms,Wrist Extensors,1,4,25,329.45,0.518678
Prone Cobras,HIIT,Full Body,Legs,Triceps,1,5,19,369.27,0.5186526
Calf Raises,HIIT,Full Core,Forearms,Wrist Extensors,1,5,15,335.44,0.5185927
Push-ups,HIIT,Quadriceps,Chest,Middle,1,4,22,345.71,0.5185577
Plank,HIIT,"Quadriceps, Glutes",Abs,Triceps,1,4,24,371.63,0.5185256
Bicycle Crunches,HIIT,"Lower Back, Glutes",Abs,Lats,1,5,20,345.26,0.51845694
Superman,HIIT,"Lower Back, Glutes",Forearms,Lats,1,4,21,360.35,0.5183256
Lateral Raises,HIIT,"Quadriceps, Glutes",Shoulders,Middle,1,4,24,370.76,0.5182586
Deadlift,HIIT,"Quadriceps, Glutes",Shoulders,Upper,1,4,23,360.22,0.5182265
Burpees,HIIT,"Back, Core, Shoulders",Legs,Lats,1,4,25,332.18,0.51809967
Russian Twists,HIIT,"Lower Back, Glutes",Chest,Lats,1,4,21,354.93,0.51802224
Push Ups,HIIT,"Back, Core, Shoulders",Abs,Lower,1,4,24,344.06,0.51791763
Plank,HIIT,"Quadriceps, Glutes",Back,Posterior,1,5,19,336.98,0.5178253
Face Pulls,HIIT,"Back, Core, Shoulders",Legs,Lower Chest,1,4,23,363.53,0.5177595
Plank,HIIT,"Back, Core, Shoulders",Chest,Lateral,1,4,25,366.77,0.5176682
Prone Cobras,HIIT,"Lower Chest, Triceps",Back,Triceps,1,4,20,344.61,0.5175606
Scissors Kicks,HIIT,"Back, Core, Shoulders",Legs,Lateral,1,5,17,345.91,0.5175541
Lateral Raises,HIIT,"Back, Core, Shoulders",Arms,Posterior,1,4,16,345.53,0.51754034
Pull-ups,HIIT,"Core, Shoulders, Hips",Abs,Lats,1,4,15,335.85,0.5175243
Prone Cobras,HIIT,"Chest, Triceps, Shoulders",Legs,Triceps,1,4,19,357.77,0.51746356
Jumping Jacks,HIIT,"Quadriceps, Glutes",Back,Upper,1,4,15,334.72,0.5174027
Pistol Squats,HIIT,"Chest, Triceps, Shoulders",Legs,Upper,1,4,17,349.85,0.51738214
Calf Raises,HIIT,"Shoulders, Upper Back",Shoulders,Anterior,1,5,19,371.9,0.5173798
Lunges,HIIT,"Quadriceps, Glutes",Forearms,Grip Strength,1,4,24,346.55,0.51732343
Box Jumps,HIIT,"Lower Back, Glutes",Abs,Lats,1,4,23,354.6,0.51730436
Step-ups,HIIT,"Quadriceps, Glutes",Forearms,Triceps,1,5,24,330.93,0.5172939
Mountain Climbers,HIIT,"Back, Core, Shoulders",Legs,Lower,1,5,22,328.79,0.51727974
Pull-ups,HIIT,"Chest, Triceps, Shoulders",Shoulders,Wrist Extensors,1,5,23,356.06,0.51726663
