Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,Calories_Burned,Sets,Reps,Burns Calories (per 30 min),E,I,S,D,R
Decline Push-ups,Strength,"Shoulders, Triceps",Legs,Lats,3,1080.9,5,21,342.58,0.5702172016526287,0.5264661651667937,0.25,0.3333333333333333,0.6372940626723124
Bear Crawls,HIIT,"Back, Core, Shoulders",Chest,Lats,2,1809.91,4,16,357.16,0.7409932176039653,0.2560552308873984,0.225,0.5751633986928104,0.8625041944498951
Dips,Cardio,"Quadriceps, Glutes",Arms,Grip Strength,2,802.26,5,22,359.63,0.5496597182774599,0.2891988990756211,0.4166666666666667,0.27450980392156865,0.6855809916695568
Mountain Climbers,HIIT,"Biceps, Forearms",Shoulders,Upper,3,1450.79,4,17,351.65,0.6601721521743431,0.5306196662245043,0.14722222222222223,0.3986928104575163,0.5396618597206699
Bicep Curls,Strength,"Chest, Triceps",Abs,Wrist Flexors,3,1166.4,5,15,329.36,0.5607356645312844,0.4228051359961471,0.16666666666666666,0.3856209150326798,0.6209141349991759
Leg Press,Yoga,"Core, Obliques",Arms,Wrist Flexors,1,453.33,4,25,374.56,0.5112245557235487,0.32484929392907835,0.7916666666666666,0.130718954248366,0.5174934324990719
Thrusters,Strength,Core,Shoulders,Wrist Flexors,3,1953.9,5,25,328.94,0.7132522502016486,0.40232583286080026,0.3055555555555555,0.7712418300653592,0.9021296472853253
Turkish Get-ups,Yoga,"Back, Biceps",Back,Lower,2,727.81,5,19,363.56,0.5429303911698075,0.43408868392789457,0.3541666666666667,0.33986928104575165,0.4841015836286535
Glute Bridges,Strength,"Upper Chest, Triceps",Chest,Middle,1,2062.37,4,24,349.51,0.7750327859038724,0.6051040822609028,0.7583333333333333,0.830065359477124,0.8202549990500789
Step-ups,Strength,"Core, Lower Back",Forearms,Lower Chest,2,1157.25,4,16,326.31,0.5529253001400148,0.4221565246795972,0.225,0.4444444444444443,0.6401569796750218
Plank,Strength,"Lower Chest, Triceps",Abs,Triceps,2,1974.26,5,17,356.2,0.7710989090603553,0.6500196947178153,0.3125,0.784313725490196,0.5249206829107039
Pull-ups,HIIT,"Chest, Triceps",Shoulders,Quads,3,2733.4,4,21,361.13,0.928667858672082,0.5254683688440255,0.19166666666666668,0.9281045751633985,0.6099057369970814
Lunges,HIIT,"Core, Shoulders, Hips",Abs,Lower Chest,3,2700.62,4,24,357.96,0.9160189263063083,0.8304792345348817,0.225,0.915032679738562,0.8555490054851556
Turkish Get-ups,HIIT,"Lower Chest, Triceps",Shoulders,Triceps,3,2345.2,5,15,338.54,0.8084238816962969,0.3240094384063083,0.16666666666666666,0.7516339869281045,0.7179370354180816
Plyo Squats,Strength,"Shoulders, Triceps",Chest,Middle,3,743.85,4,15,356.83,0.5327512984316332,0.502397276892211,0.125,0.16993464052287582,0.6635386397580367
Squats,Strength,"Rear Deltoids, Upper Back",Legs,Lower,3,1293.84,5,18,359.74,0.6456005706683696,0.4158106590507886,0.20833333333333334,0.4640522875816993,0.7667215389154183
Frog Jumps,Strength,"Quadriceps, Hamstrings, Glutes",Forearms,Triceps,3,2189.58,5,21,342.47,0.785888641927168,0.5579709233197443,0.25,0.9019607843137255,0.7322364862068744
Step-ups,Cardio,"Quadriceps, Hamstrings, Glutes",Chest,Anterior,1,1305.6,5,17,356.98,0.6424351409283588,0.28998075964324643,0.6666666666666666,0.5686274509803922,0.7218484874436744
Lunges,Strength,"Chest, Triceps",Legs,Wrist Flexors,1,803.36,4,25,332.12,0.49549773096313343,0.2465671739628493,0.7916666666666666,0.20915032679738563,0.9071484355214284
Deadlifts,HIIT,"Core, Shoulders, Legs",Chest,Lower,2,1544.4,4,23,350.23,0.6755936889041662,0.6476254937124607,0.3416666666666667,0.4444444444444443,0.6607652587794324
Decline Push-ups,Strength,"Shoulders, Upper Back",Abs,Anterior,1,1123.2,5,23,333.67,0.5608426330659533,0.3487655818893694,0.9166666666666666,0.3594771241830066,0.7241042234630637
Prone Cobras,Yoga,"Upper Chest, Triceps",Chest,Posterior,3,1326.0,5,17,356.6,0.6456564452486503,0.649792200974573,0.19444444444444445,0.7908496732026142,0.533409717687579
Glute Bridges,Cardio,"Chest, Triceps, Shoulders",Forearms,Grip Strength,3,1214.12,4,24,353.43,0.6176046831240642,0.35143561696793113,0.225,0.5098039215686274,0.6645194956116398
Lat Pulldowns,Cardio,"Core, Shoulders, Hips",Back,Grip Strength,2,1831.81,4,24,350.66,0.7324098367906098,0.5912736489541677,0.35833333333333334,0.830065359477124,0.8209659586485287
Prone Cobras,Strength,Triceps,Forearms,Wrist Flexors,1,1177.2,4,15,360.04,0.6234807044975541,0.25038632228531416,0.4583333333333333,0.3921568627450981,0.65751906199295
Bear Crawls,Yoga,"Chest, Triceps",Chest,Middle,3,1067.38,5,17,338.3,0.5591246700455934,0.5315114629030475,0.19444444444444445,0.6470588235294117,0.4305231771254525
Mountain Climbers,Cardio,"Obliques, Core",Shoulders,Lower,1,1277.86,4,15,355.39,0.6338906512067641,0.6509632804464643,0.4583333333333333,0.5490196078431373,0.793554591632978
Russian Twists,Cardio,Core,Forearms,Posterior,1,792.0,5,22,368.66,0.5655105008344881,0.3085179524109259,0.875,0.2679738562091503,0.6809623430130753
Shoulder Press,HIIT,"Chest, Triceps",Back,Lower,3,1848.0,5,15,339.35,0.7132071382841689,0.28837563658216364,0.16666666666666666,0.5947712418300654,0.5692126058465302
Tricep Dips,Strength,"Back, Biceps",Arms,Anterior,3,2226.42,5,25,334.26,0.7768344871257649,0.5615230086736974,0.3055555555555555,0.9215686274509802,0.9170984941281004
Kettlebell Swings,Yoga,"Shoulders, Upper Back",Legs,Lats,1,827.31,4,16,353.89,0.5431919382786392,0.5073921927114796,0.49166666666666664,0.4313725490196078,0.5485269704240148
Resistance Band Pull-Aparts,Cardio,Full Body,Legs,Triceps,1,1324.8,5,16,346.31,0.6250835899400079,0.19220170157166136,0.625,0.5816993464052287,0.6678266909709342
Leg Raises,Yoga,"Glutes, Hamstrings",Abs,Lower Chest,1,790.68,5,18,361.2,0.5505080481670244,0.3545273651023456,0.7083333333333334,0.3986928104575163,0.664439288658899
Tricep Extensions,HIIT,"Quadriceps, Glutes",Shoulders,Quads,1,2545.4,5,16,364.95,0.8996099640499273,0.36425123896816397,0.625,0.8431372549019608,0.7110439806443581
Deadlifts,Yoga,"Quadriceps, Calves, Glutes",Back,Grip Strength,1,1072.8,4,19,344.07,0.571585050393929,0.189191164046993,0.5916666666666667,0.6535947712418301,0.7224552672615265
Dead Bugs,Strength,Triceps,Shoulders,Posterior,1,1902.7,5,22,348.23,0.7414108348317694,0.8772551760716071,0.875,0.7450980392156863,0.5832223690729368
Frog Jumps,HIIT,"Core, Shoulders, Hips",Arms,Triceps,1,1607.84,3,10,130.05,0.2527399615025265,0.7980524696495176,0.20833333333333334,0.5490196078431373,0.6593500344153806
Scissors Kicks,HIIT,"Shoulders, Upper Back",Forearms,Lats,3,895.4,5,16,357.81,0.5641990949323341,0.2877658766423963,0.18055555555555555,0.1633986928104575,0.35878755013287966
Plyometric Push-ups,Cardio,Lower Abs,Legs,Wrist Flexors,2,1311.91,5,23,330.57,0.5914619330815847,0.25761589359052467,0.4375,0.5751633986928104,0.6140946802846279
Frog Jumps,HIIT,Lower Abs,Abs,Middle,3,2577.96,4,24,336.55,0.849814886541438,0.7776919015110384,0.225,0.8562091503267972,0.8151049259978853
Push Ups,Yoga,"Core, Obliques",Back,Lower,2,566.57,4,23,359.4,0.503310120594514,0.11725733540783176,0.3416666666666667,0.24183006535947713,0.6283026815310944
Leg Press,HIIT,"Legs, Shoulders, Core",Forearms,Wrist Flexors,3,1849.54,4,22,331.76,0.6985046444691594,0.40489499745549157,0.20277777777777778,0.5947712418300654,0.5866170101457565
Bench Press,HIIT,Shoulders,Shoulders,Anterior,2,1818.3,5,18,350.88,0.7302139393509947,0.35504741026238307,0.3333333333333333,0.6601307189542484,0.5244854061021108
Inverted Rows,Yoga,"Shoulders, Triceps",Arms,Wrist Extensors,2,786.11,4,23,369.34,0.5657076504807795,0.46965440640382244,0.3416666666666667,0.4575163398692809,0.5476535205630683
Bench Press,Yoga,"Lower Chest, Triceps",Chest,Lats,1,1003.8,4,21,363.78,0.5971076822912057,0.4059232677396093,0.6583333333333333,0.5947712418300654,0.6879495121443826
Russian Twists,HIIT,"Chest, Triceps",Abs,Middle,1,2490.11,4,22,373.65,0.9060399559888604,0.3408521383599616,0.6916666666666667,0.8169934640522875,0.6962738643029982
Russian Twists,HIIT,"Upper Back, Rear Deltoids",Forearms,Middle,1,2575.98,5,18,355.67,0.8872218653517543,0.31976578627903546,0.7083333333333334,0.8562091503267972,0.8902158360509721
Seated Rows,Cardio,"Back, Core, Shoulders",Legs,Upper,2,1011.08,5,21,368.91,0.6086652309359322,0.4487713549562,0.3958333333333333,0.4313725490196078,0.6721368434773194
Calf Raises,Yoga,"Rear Deltoids, Upper Back",Chest,Triceps,1,1209.0,5,18,333.31,0.5768385523397644,0.5857854849331569,0.7083333333333334,0.6928104575163399,0.7191811507197379
Reverse Lunges,Strength,Lower Abs,Back,Quads,3,1248.53,4,24,350.36,0.6182370530905288,0.15362065450265705,0.225,0.503267973856209,0.6013327637132041
Russian Twists,Yoga,Calves,Back,Posterior,1,1308.38,4,23,351.92,0.6329748980417043,0.48385664030900044,0.725,0.7777777777777778,0.5472995859444505
Deadlift,Cardio,Core,Legs,Upper,1,1787.42,5,15,337.04,0.6968446955060046,0.15536936925238615,0.5833333333333334,0.803921568627451,0.5527928136236758
Plyo Squats,HIIT,"Core, Shoulders, Hips",Shoulders,Posterior,3,1499.04,3,12,199.88,0.3695795431837213,0.6604266732246329,0.058333333333333334,0.4901960784313726,0.4096231220187212
Wall Angels,Yoga,"Shoulders, Upper Back",Chest,Lower Chest,3,999.97,4,17,345.11,0.5594588138795726,0.2255711965066005,0.14722222222222223,0.5882352941176469,0.6407889269455048
Mountain Climbers,Strength,"Core, Lower Back",Shoulders,Quads,3,1296.0,4,16,350.76,0.6282713370423951,0.03344418633989909,0.1361111111111111,0.4640522875816993,0.7127305425241611
Deadlift,HIIT,"Glutes, Hamstrings",Shoulders,Wrist Flexors,3,665.5,5,20,367.32,0.5382290166815825,0.3984946151569479,0.23611111111111113,0.03921568627450982,0.5360521756648331
Bear Crawls,Cardio,"Glutes, Hamstrings, Core",Forearms,Anterior,3,2039.97,4,15,340.84,0.7535338258351478,0.48415755038635866,0.125,0.96078431372549,0.7452525360123521
Tricep Extensions,Strength,"Triceps, Chest",Legs,Posterior,1,1092.62,4,18,338.1,0.5636442358754482,0.3755279917848896,0.5583333333333333,0.33986928104575165,0.7791202447394241
Resistance Band Pull-Aparts,HIIT,Core,Legs,Grip Strength,1,2420.42,5,20,355.43,0.8564558992778487,0.2181803756488751,0.7916666666666666,0.784313725490196,0.8143856800853699
Step-ups,Strength,"Chest, Triceps, Shoulders",Shoulders,Lats,3,2052.22,4,23,372.07,0.8176483469590693,0.2708708078842513,0.2138888888888889,0.8235294117647057,0.749619097429321
Lateral Raises,Cardio,Shoulders,Chest,Upper,2,1727.73,4,25,368.48,0.7473657107060385,0.23021581058682905,0.375,0.764705882352941,0.6266635271611929
Decline Push-ups,Yoga,"Upper Chest, Triceps",Back,Wrist Extensors,3,1065.6,5,16,357.61,0.5969461475110819,0.47932121303427205,0.18055555555555555,0.6470588235294117,0.3777443096221206
Face Pulls,Cardio,"Quadriceps, Glutes",Arms,Lower Chest,3,960.8,4,15,366.43,0.5939724448637159,0.169212037803038,0.125,0.3333333333333333,0.34684025819397724
Prone Cobras,Strength,"Upper Chest, Triceps",Chest,Posterior,2,1147.36,3,12,259.05,0.4180535393014581,0.5812918922137833,0.10833333333333334,0.43790849673202603,0.494087214391592
Burpees,Cardio,"Back, Hamstrings, Glutes",Chest,Lats,3,1842.22,5,24,346.69,0.7265898444172443,0.3152165317381522,0.2916666666666667,0.8366013071895425,0.4878152669668697
Pull-ups,Strength,"Lower Back, Glutes",Forearms,Posterior,1,1438.79,4,23,364.26,0.6827603290056931,0.556669467799339,0.725,0.5490196078431373,0.7825668701948676
Shoulder Press,Cardio,Calves,Chest,Anterior,3,1012.92,3,8,249.64,0.3732747918715493,0.28409622018344227,0.025,0.4313725490196078,0.6970232912926928
Push-ups,Yoga,"Lower Abs, Hip Flexors",Abs,Middle,1,1073.69,5,24,335.25,0.5543247702317098,0.3839111876927629,0.9583333333333334,0.6535947712418301,0.7817980520246564
Squats,Strength,"Shoulders, Upper Back",Abs,Lats,1,1467.58,5,19,371.13,0.7019457137067902,0.3686175001652816,0.75,0.5686274509803922,0.7618829414140771
Box Jumps,HIIT,"Full Body, Core, Shoulders",Abs,Upper,2,2807.11,5,16,340.61,0.9024613427796327,0.5237754895497083,0.2916666666666667,0.96078431372549,0.6906874494435853
Rows,Strength,"Upper Back, Rear Deltoids",Chest,Middle,3,961.17,4,25,340.72,0.5432261823030458,0.24186030009230622,0.23611111111111113,0.31372549019607837,0.5351465220585798
Kettlebell Swings,HIIT,"Chest, Triceps, Shoulders",Back,Grip Strength,1,1399.2,5,17,344.91,0.6368039713844998,0.6619061913923426,0.6666666666666666,0.37254901960784315,0.6402900811033883
Push-ups,Cardio,"Upper Chest, Triceps",Abs,Wrist Flexors,2,580.8,4,25,359.03,0.5053497312193145,0.23225006419857608,0.375,0.11111111111111113,0.8053137210291395
Kettlebell Swings,Cardio,"Chest, Triceps",Shoulders,Wrist Extensors,1,1180.8,5,18,341.52,0.5875751401262008,0.6028467856612151,0.7083333333333334,0.4836601307189542,0.9005814206521221
Bird Dogs,Yoga,"Back, Core, Shoulders",Abs,Triceps,1,481.8,4,20,335.87,0.44029386465100656,0.436314925778076,0.625,0.15686274509803919,0.7267587497255418
Plyometric Push-ups,Cardio,"Chest, Triceps",Shoulders,Triceps,3,1810.99,5,18,343.62,0.7144403971224138,0.24170928495299387,0.20833333333333334,0.8169934640522875,0.7403926312831295
Seated Rows,Cardio,"Quadriceps, Hamstrings, Glutes",Abs,Wrist Extensors,1,1431.59,4,19,343.73,0.6407787632512456,0.18005051300796612,0.5916666666666667,0.6535947712418301,0.7330225057458284
Calf Raises,Cardio,Core,Abs,Quads,1,1211.62,4,17,342.75,0.596007811098232,0.6924829265360829,0.525,0.503267973856209,0.812458573379073
Calf Raises,Yoga,"Upper Back, Rear Deltoids",Abs,Lateral,3,415.42,5,21,339.54,0.43462206144210824,0.1690247643086136,0.25,0.09150326797385618,0.6882562810157358
Dragon Flags,Cardio,"Upper Back, Rear Deltoids",Shoulders,Wrist Flexors,1,2060.78,4,15,346.59,0.7689515079962653,0.36165114962463496,0.4583333333333333,0.9738562091503268,0.6412775333604794
Plyometric Push-ups,Strength,Full Core,Shoulders,Anterior,3,2097.52,5,16,364.54,0.8115856604770169,0.35645339918442803,0.18055555555555555,0.849673202614379,0.7095391678227216
Dead Bugs,HIIT,"Core, Shoulders, Legs",Legs,Anterior,2,1950.34,5,16,359.58,0.7731219603508419,0.3269496094255613,0.2916666666666667,0.6470588235294117,0.7522736289517271
Glute Bridges,Yoga,"Core, Obliques",Arms,Lower Chest,3,814.28,5,24,331.29,0.49598356373414454,0.5294785491654727,0.2916666666666667,0.4183006535947712,0.4791766890636544
Calf Raises,Cardio,"Lower Back, Glutes",Shoulders,Grip Strength,2,1038.4,5,24,368.93,0.6140246782887494,0.2720714798079455,0.4583333333333333,0.4509803921568627,0.6035616526302906
Inverted Rows,Cardio,"Quadriceps, Calves, Glutes",Forearms,Posterior,2,1239.43,4,15,351.72,0.6191532181701364,0.5080783911748302,0.20833333333333334,0.5228758169934641,0.7196771279566809
Lateral Raises,Strength,"Lower Back, Glutes",Shoulders,Anterior,2,2206.2,4,21,337.98,0.7802500677747615,0.623116308364622,0.30833333333333335,0.915032679738562,0.6860166136525864
Lat Pulldowns,Yoga,"Core, Obliques",Abs,Triceps,2,1507.72,5,23,357.99,0.6837895311812567,0.2719996136710699,0.4375,0.9411764705882353,0.673666216120077
Plyo Squats,Yoga,"Upper Chest, Triceps",Shoulders,Lower,3,792.72,3,12,164.77,0.1626423228115772,0.7016802265649141,0.058333333333333334,0.4640522875816993,0.5662935943389534
Bicycle Crunches,Yoga,"Core, Lower Back",Abs,Triceps,3,541.2,4,25,332.18,0.4445669481593538,0.25191364536271904,0.23611111111111113,0.21568627450980388,0.705628452931639
Thrusters,Yoga,"Legs, Shoulders, Core",Chest,Upper,2,784.8,5,16,332.85,0.4933265315379785,0.583061320975594,0.2916666666666667,0.3921568627450981,0.8459300635573034
Russian Twists,HIIT,"Shoulders, Triceps",Arms,Lower Chest,1,1732.08,5,19,335.2,0.6824316178096076,0.33007470799820526,0.75,0.5359477124183007,0.5824699813203951
Pull-ups,HIIT,"Lower Abs, Hip Flexors",Legs,Upper,2,2400.55,4,19,330.95,0.8041995960901582,0.5775776253405454,0.275,0.7777777777777778,0.7677782768705161
Pull-ups,Strength,"Back, Core, Shoulders",Shoulders,Quads,1,1382.4,5,22,331.62,0.6072635985815333,0.26516175513732293,0.875,0.5163398692810457,0.8972238410140567
Leg Press,Cardio,Triceps,Shoulders,Grip Strength,2,1266.05,4,23,335.22,0.5917229733607807,0.4913064605481973,0.3416666666666667,0.6209150326797384,0.5891716751334595
Flutter Kicks,Strength,"Glutes, Hamstrings, Core",Arms,Anterior,1,792.72,5,15,347.56,0.5239445049747651,0.5443003742082074,0.5833333333333334,0.20261437908496732,0.7435254490815674
Burpees,Yoga,"Core, Shoulders, Legs",Abs,Lats,3,1067.38,5,16,357.3,0.596680014764126,0.47398189019202025,0.18055555555555555,0.6470588235294117,0.3787563180036352
Flutter Kicks,Strength,"Shoulders, Upper Back",Arms,Lateral,1,1352.25,5,25,348.02,0.6338088007608755,0.7760137372301863,1.0,0.4967320261437908,0.6706091931150904
Shoulder Press,HIIT,"Triceps, Chest",Legs,Upper,2,1355.2,5,15,340.71,0.6199343178474993,0.7519392049998661,0.2708333333333333,0.4117647058823529,0.754892362203907
Frog Jumps,Strength,"Upper Back, Rear Deltoids",Back,Wrist Extensors,3,1298.08,5,21,344.03,0.6153738687867363,0.6310632992355261,0.25,0.5359477124183007,0.5395124267251592
Bulgarian Split Squats,HIIT,"Shoulders, Triceps",Forearms,Wrist Flexors,3,1806.18,3,10,289.17,0.6058780532953767,0.5275821830174028,0.041666666666666664,0.6535947712418301,0.39921192066815947
Lat Pulldowns,Yoga,"Upper Chest, Triceps",Chest,Lateral,3,810.32,4,15,341.94,0.516263207629287,0.3436401841867474,0.125,0.4836601307189542,0.5238745473000114
Glute Bridges,Cardio,"Back, Core, Shoulders",Shoulders,Quads,3,729.07,4,22,367.63,0.5512204961382526,0.3085200213491657,0.20277777777777778,0.22222222222222218,0.6546387733471295
Russian Twists,Strength,"Core, Obliques",Chest,Wrist Flexors,3,1597.07,4,17,361.66,0.7084424141713449,0.9932051325055031,0.14722222222222223,0.6470588235294117,0.3360137224137262
Step-ups,Yoga,Quadriceps,Legs,Lateral,1,356.08,5,18,365.45,0.4742806488459356,0.8068739551951021,0.7083333333333334,0.032679738562091575,0.6464219416209478
Superman,HIIT,"Glutes, Hamstrings, Core",Abs,Posterior,2,1556.3,5,22,330.85,0.6396044771664825,0.758693470557335,0.4166666666666667,0.4509803921568627,0.8122554059906943
Resistance Band Pull-Aparts,Strength,"Legs, Shoulders, Core",Forearms,Grip Strength,1,1405.17,4,25,362.51,0.6727545946348121,0.27757467148164255,0.7916666666666666,0.5294117647058822,0.7800128472520809
Squats,Yoga,"Back, Biceps",Forearms,Lower Chest,3,1538.96,5,20,345.56,0.6653036708345257,0.8231271478525034,0.23611111111111113,0.9673202614379085,0.8353908305631892
Dragon Flags,HIIT,"Legs, Core",Shoulders,Lower Chest,1,1665.97,3,10,175.21,0.35332251080859467,0.5949955548018494,0.20833333333333334,0.503267973856209,0.5425060180526722
Plyometric Push-ups,Cardio,Full Body,Chest,Triceps,3,1160.63,4,22,343.48,0.587521646198004,0.10676570461085799,0.20277777777777778,0.47058823529411753,0.6795876728557789
Thrusters,Strength,"Glutes, Hamstrings",Abs,Middle,3,663.3,5,18,332.71,0.469390594093284,0.18046960966453854,0.20833333333333334,0.11764705882352944,0.6715507625985653
Flutter Kicks,Cardio,"Legs, Core",Chest,Lateral,1,1095.31,4,17,348.56,0.5848432544889691,0.7807517750102386,0.525,0.4248366013071894,0.6914701710399753
Incline Push-ups,Yoga,"Core, Lower Back",Forearms,Lower Chest,3,842.4,4,15,350.32,0.5390739026083463,0.4778680224326379,0.125,0.4444444444444443,0.5853289646552232
Leg Press,Strength,"Shoulders, Upper Back",Shoulders,Lower Chest,1,1178.18,5,18,362.61,0.628751390539144,0.3514105295213813,0.7083333333333334,0.3921568627450981,0.664650391129443
Bear Crawls,HIIT,"Shoulders, Upper Back",Abs,Lower Chest,2,1040.6,4,24,353.5,0.5839541824709757,0.7772915194711334,0.35833333333333334,0.24183006535947713,0.5393143657730054
