Name of Exercise,Workout_Type,Target Muscle Group,Body Part,Type of Muscle,Difficulty Level,E,I,S,D,R,E_scaled,I_scaled,S_scaled,D_scaled,R_scaled
Decline Push-ups,Strength,"Shoulders, Triceps",Legs,Lats,3,0.5702172016526287,0.5264661651667937,,0.3333333333333333,,-0.35544317577300644,0.2931379235882851,,-0.7625650036635594,
Bear Crawls,HIIT,"Back, Core, Shoulders",Chest,Lats,2,0.7409932176039653,0.2560552308873984,,0.5751633986928104,,1.1019296487931038,-1.020377938996853,,0.32209542329749613,
Dips,Cardio,"Quadriceps, Glutes",Arms,Grip Strength,2,0.5496597182774599,0.2891988990756211,,0.27450980392156865,,-0.530877164237627,-0.8593832143363933,,-1.0264013237351672,
Mountain Climbers,HIIT,"Biceps, Forearms",Shoulders,Upper,3,0.6601721521743431,0.5306196662245043,,0.3986928104575163,,0.41221673007052007,0.3133134743259268,,-0.4694135369173282,
Bicep Curls,Strength,"Chest, Triceps",Abs,Wrist Flexors,3,0.5607356645312844,0.4228051359961471,,0.3856209150326798,,-0.4363569648597564,-0.21039351278055896,,-0.528043830266574,
Leg Press,Yoga,"Core, Obliques",Arms,Wrist Flexors,1,0.5112245557235487,0.32484929392907835,,0.130718954248366,,-0.8588761581350638,-0.6862121135736686,,-1.6713345505768762,
Thrusters,Strength,Core,Shoulders,Wrist Flexors,3,0.7132522502016486,0.40232583286080026,,0.7712418300653592,,0.8651930567482874,-0.3098713301057046,,1.2015498235361888,
Turkish Get-ups,Yoga,"Back, Biceps",Back,Lower,2,0.5429303911698075,0.43408868392789457,,0.33986928104575165,,-0.5883040716383902,-0.1555838977992488,,-0.7332498569889361,
Glute Bridges,Strength,"Upper Chest, Triceps",Chest,Middle,1,0.7750327859038724,0.6051040822609028,,0.830065359477124,,1.3924174056592828,0.675120078929102,,1.4653861436077975,
Step-ups,Strength,"Core, Lower Back",Forearms,Lower Chest,2,0.5529253001400148,0.4221565246795972,,0.4444444444444443,,-0.5030092564616324,-0.2135441296563554,,-0.2642075101949668,
Plank,Strength,"Lower Chest, Triceps",Abs,Triceps,2,0.7710989090603553,0.6500196947178153,,0.784313725490196,,1.3588463847229155,0.8932967942941825,,1.2601801168854359,
