meal_name,diet_type,Calories_Final,day_label,Day,Portion,Proteins,Carbs,Fats
Raw Balanced Snack,Balanced,738.25,Breakfast,1,1.5,97.42,244.55,65.2
Boiled Paleo Snack,Balanced,745.25,Lunch,1,1.5,94.27,237.09,63.22
Raw Balanced Snack,Balanced,795.75,Dinner,1,1.5,85.14,211.06,56.9
Raw Balanced Snack,Balanced,615.25,Breakfast,2,1.5,102.89,255.94,68.6
Boiled Paleo Snack,Balanced,580.125,Lunch,2,1.5,132.0,330.16,87.64
Grilled Keto Breakfast,Balanced,745.5,Dinner,2,1.5,112.3,283.06,74.9
Raw Vegetarian Snack,Balanced,1200.75,Dinner,3,1.5,112.16,278.81,74.21
Roasted Low-Carb Dinner,Balanced,1133.625,Breakfast,3,1.5,112.06,279.54,74.98
Steamed Vegetarian Breakfast,Balanced,765.75,Lunch,3,1.5,111.64,282.34,75.14
Baked Vegan Lunch,Balanced,829.125,Dinner,4,1.5,85.32,211.17,56.8
Raw Vegan Breakfast,Balanced,304.0,Lunch,4,1.0,83.02,208.58,55.06
Fried Paleo Snack,Balanced,782.25,Breakfast,4,1.5,112.23,282.52,74.71
Grilled Keto Lunch,Balanced,232.66666666666666,Dinner,5,1.0,95.69,237.33,63.73
Grilled Vegetarian Dinner,Balanced,552.0,Lunch,5,1.5,131.13,330.81,88.2
Raw Low-Carb Snack,Balanced,680.0,Breakfast,5,1.5,88.14,222.25,59.33
Steamed Paleo Snack,Balanced,300.0,Breakfast,6,1.0,82.67,208.57,55.87
Steamed Vegetarian Breakfast,Balanced,1159.5,Lunch,6,1.5,111.51,279.64,74.47
Steamed Vegetarian Breakfast,Balanced,755.5,Dinner,6,1.5,97.67,243.02,65.74
Steamed Vegetarian Breakfast,Balanced,1066.125,Lunch,7,1.5,111.92,282.64,75.28
Steamed Vegetarian Breakfast,Balanced,629.625,Breakfast,7,1.5,124.38,312.39,82.97
Roasted Low-Carb Dinner,Balanced,551.25,Dinner,7,1.5,132.06,329.37,87.84
Raw Vegan Snack,Balanced,652.125,Dinner,8,1.5,125.17,311.61,83.41
Roasted Low-Carb Dinner,Balanced,510.25,Breakfast,8,1.5,82.94,208.37,55.47
Fried Vegetarian Breakfast,Balanced,637.5,Lunch,8,1.5,75.61,192.71,50.81
Raw Vegan Breakfast,Balanced,510.5,Lunch,9,1.5,83.33,207.9,55.65
Raw Vegan Breakfast,Balanced,649.5,Breakfast,9,1.5,89.28,224.7,59.1
Grilled Keto Lunch,Balanced,215.33333333333334,Dinner,9,1.0,94.65,238.31,63.41
Fried Paleo Snack,Balanced,647.5,Dinner,10,1.5,88.5,222.01,58.94
Grilled Keto Lunch,Balanced,338.0,Breakfast,10,1.0,83.39,210.29,55.25
Roasted Paleo Snack,Balanced,689.0,Lunch,10,1.5,85.93,213.97,56.87
Steamed Vegan Dinner,Balanced,712.75,Lunch,11,1.5,85.54,213.54,57.03
Raw Balanced Snack,Balanced,738.25,Dinner,11,1.5,97.42,244.55,65.2
Fried Paleo Snack,Balanced,1156.125,Breakfast,11,1.5,112.16,278.38,74.11
Boiled Paleo Snack,Balanced,745.25,Lunch,12,1.5,94.27,237.09,63.22
Raw Balanced Snack,Balanced,795.75,Dinner,12,1.5,85.14,211.06,56.9
Raw Balanced Snack,Balanced,738.25,Breakfast,12,1.5,97.42,244.55,65.2
Raw Balanced Snack,Balanced,738.25,Breakfast,13,1.5,97.42,244.55,65.2
Boiled Paleo Snack,Balanced,745.25,Lunch,13,1.5,94.27,237.09,63.22
Raw Balanced Snack,Balanced,795.75,Dinner,13,1.5,85.14,211.06,56.9
Raw Balanced Snack,Balanced,738.25,Breakfast,14,1.5,97.42,244.55,65.2
Boiled Paleo Snack,Balanced,745.25,Lunch,14,1.5,94.27,237.09,63.22
Raw Balanced Snack,Balanced,795.75,Dinner,14,1.5,85.14,211.06,56.9
